,date,time,static
777,('date=2021-06-08', 'time=16:25:03'," 'down""')"
779,('date=2021-06-08', 'time=16:07:45'," 'up""')"
780,('date=2021-06-08', 'time=16:07:44'," 'up""')"
781,('date=2021-06-08', 'time=16:00:38'," 'down""')"
782,('date=2021-06-08', 'time=16:00:36'," 'down""')"
792,('date=2021-06-08', 'time=14:21:20'," 'up""')"
793,('date=2021-06-08', 'time=14:21:19'," 'up""')"
794,('date=2021-06-08', 'time=14:18:26'," 'down""')"
795,('date=2021-06-08', 'time=14:18:25'," 'down""')"
796,('date=2021-06-08', 'time=14:16:14'," 'up""')"
797,('date=2021-06-08', 'time=14:16:13'," 'up""')"
798,('date=2021-06-08', 'time=13:55:44'," 'down""')"
801,('date=2021-06-08', 'time=13:26:19'," 'up""')"
802,('date=2021-06-08', 'time=13:26:18'," 'up""')"
803,('date=2021-06-08', 'time=13:08:06'," 'down""')"
804,('date=2021-06-08', 'time=13:08:05'," 'down""')"
805,('date=2021-06-08', 'time=13:07:04'," 'up""')"
806,('date=2021-06-08', 'time=13:07:03'," 'up""')"
809,('date=2021-06-08', 'time=10:44:11'," 'down""')"
810,('date=2021-06-08', 'time=10:43:34'," 'up""')"
811,('date=2021-06-08', 'time=10:43:33'," 'up""')"
814,('date=2021-06-08', 'time=09:00:25'," 'down""')"
815,('date=2021-06-08', 'time=09:00:24'," 'down""')"
816,('date=2021-06-08', 'time=08:57:37'," 'up""')"
817,('date=2021-06-08', 'time=08:57:36'," 'up""')"
818,('date=2021-06-08', 'time=08:55:36'," 'down""')"
819,('date=2021-06-08', 'time=08:55:34'," 'down""')"
820,('date=2021-06-08', 'time=08:55:25'," 'up""')"
821,('date=2021-06-08', 'time=08:55:25'," 'up""')"
822,('date=2021-06-03', 'time=21:05:30'," 'down""')"
823,('date=2021-06-03', 'time=21:05:09'," 'up""')"
824,('date=2021-06-03', 'time=21:05:08'," 'up""')"
825,('date=2021-06-03', 'time=20:27:30'," 'down""')"
829,('date=2021-06-03', 'time=19:57:24'," 'up""')"
830,('date=2021-06-03', 'time=19:57:23'," 'up""')"
832,('date=2021-06-03', 'time=19:51:26'," 'down""')"
833,('date=2021-06-03', 'time=19:49:39'," 'up""')"
834,('date=2021-06-03', 'time=19:49:38'," 'up""')"
